category,rank,name,country,points,movement,profile
Men's Doubles,163,Yuto Noda/Shunya Ota,,9090,,
Men's Doubles,164,Jose Guevara/Adriano Viale,,9057,,
Men's Doubles,165,Arya Thakore/Dhruv Thakore,,9020,,
Men's Doubles,166,Nandakumar N G N / Rethinasabapathi R K,,8950,,
Men's Doubles,167,Chen S F / Chiu S H,,8950,,
Men's Doubles,168,Lap Hang Hugo Pong/Pong Lap Kan Kern,,8790,,
Men's Doubles,169,Jacob Ekman/Oscar Reuterhall,,8781,,
Men's Doubles,170,Xu Huayu/Zhang Lejian,,8540,,
Men's Doubles,171,Kazuki Shibata/Naoki Yamada,,8520,,
Men's Doubles,172,Vishnuvardhan Goud Panjala/Ruban Kumar Rethinasabapathi,,8510,,
Men's Doubles,173,Ashith Surya/Ganesh Vittalji,,8410,,
Men's Doubles,174,Erwiansyah M P / Maulana B,,8330,,
Men's Doubles,175,Miha Ivancic/Tadej Jelenc,,8329,,
Men's Doubles,176,Thibault Gardon/Tom Lalot Trescarte,,8290,,
Men's Doubles,177,Su Latt/Thet Htar Thuzar,,8246,,
Men's Doubles,178,Chiu Tzu Hung/Lu Ching-yao,,8200,,
Men's Doubles,179,Izak Batalha/Matheus Voigt,,8118,,
Men's Doubles,180,Nicolas Franconville/Liano Panza,,8070,,
Men's Doubles,181,Malaysia,,8070,,
Men's Doubles,182,Andrej Suchy/Simeon Suchy,,7970,,
Men's Doubles,183,Divyam Arora/Arsh Mohammad,,7920,,
Men's Doubles,184,Tobias Roenboeg/Mike Vestergaard,,7890,,
Men's Doubles,185,Ewan Goulin/Arsene Serre,,7880,,
Men's Doubles,186,David Bjarni Bjornsson/Kristofer Darri Finnsson,,7817,,
Men's Doubles,187,Keiichiro Matsui/Kenya Mitsuhashi,,7700,,
Men's Doubles,188,Keiichiro Matsui/Katsuki Tamate,,7600,,
Men's Doubles,189,Nitin Kumar/Harsh Rana,,7540,,
Men's Doubles,190,Robert Nebel/Otto Reiler,,7530,,
Men's Doubles,191,Ayato Endo/Yuta Takei,,7440,,
Men's Doubles,192,Chongo Ezra Mulenga/Kalombo Mulenga,,7434,,
Men's Doubles,193,Castillo J / Gaitan A,,7424,,
Men's Doubles,194,Aderya T / Marvino D E,,7400,,
Men's Doubles,195,Kristjan Kaljurand/Raul Käsner,,7374,,
Men's Doubles,196,Chen Xu Jun/Liu Yang,,7350,,
Men's Doubles,197,Ishaan Bhatnagar/Aradhana Balachandra,,7320,,
Men's Doubles,198,Huang Di/Ren Xiang Yu,,7320,,
Men's Doubles,199,Ki Dong Ju/Kim Won-ho,,7241,,
Men's Doubles,200,Daniel Franco/Rodrigo Sanjurjo,,7224,,
Men's Doubles,201,Aaron Chia Teng Fong/Tee Kai Wun,,7141,,
Men's Doubles,202,Huang Kai Yi/Lin Sheng-Ming,,7120,,
Men's Doubles,203,Alexius Ongkytama Subagio/Aquino Evano Keneddy Tangka,,7050,,
Men's Doubles,204,Kiren Milan Deraj/Victor Ho,,7020,,
Men's Doubles,205,Ping Hsuan Chen/Wei Ting Lee,,7000,,
Men's Doubles,206,Mohammed Munawar/Mohamed Muanis,,6980,,
Men's Doubles,207,Md Rahatun Nayem/Md. Mizanoor Rahman,,6960,,
Men's Doubles,208,Evan Kenny/Josh Taylor,,6940,,
Men's Doubles,209,Timo Stoffelen/Joep Strooper,,6920,,
Men's Doubles,210,Inoue S / Kida Y,,6850,,
Men's Doubles,211,Naoya Kawashima/Akira Koga,,6800,,
Men's Doubles,212,Lin Y F / Yang J Y,,6790,,
Men's Doubles,213,Jin Yong/Kim Won-ho,,6784,,
Men's Doubles,214,Jin Yong/Seo Seung-jae,,6769,,
Men's Doubles,215,Mohamed Abderrahime Belarbi/Adel Hamek,,6722,,
